,username,hack id,repo name,time,climate dataset,extra dataset used,extra dataset list,google api,location,using JS,mashup,readme,good readme,chart,if use library,library list,error_raw,error_normal,tech_point_raw,tech_point_normal,tech_per,tech_detail,user_requirement,user_requirement_normal,user_requirement_per,user_detail,infovis,infoVis_normal,infoVis_per,infovis_detail,combined_infovis_raw,combined_infovis_norm,combined_infovis_per,novelty,novelty_normal,novelty_per,novelty_detail,total_raw,total_norm,total_norm_per,phase,except-min-criteria,novel-20,len_except_min_criteria,len_novel_20,len_data
225,noah-curran,honors0,IH-Project-2017-noah-curran_webapp_phase3,Wed Nov 15 19:18:47 2017,1,1,['Required Weather API'],1,1,1,0,0,0,1,1,"font-awesome,animate,",0.0084388185654008,99.15611814345992,7,70,44.44%,"1,1,1,1,0,0,0,1,1,",1,20,22.22%,"1.0,0.0,0.0,0.0,0.0,",2,11.11111111111111,22.22%,"1.0,0.0,1.0,0.0,0.0,0.0,",3,13.043478260869565,22.22%,3,0.6666666666666667,44.44%,"3.0,0.0,0.0,;",13,195.9097413318657,44.44%,3,[],[],0,0,1
227,bzin22,honors0,IH-Project-2017-bzin22_webapp_phase3,Wed Nov 15 19:18:47 2017,1,5,"['Required Weather API', ' New York City Farmers Markets', ' New York City Art Galleries', ' DOHMH New York City Restaurant Inspection Results', ' Bank-Owned ATM Locations in New York State']",1,1,1,1,0,0,1,1,"jquery,materialize,animate,",0.0422885572139303,95.77114427860695,8,80,55.56%,"1,1,1,1,1,0,0,1,1,",1,20,22.22%,"1.0,0.0,0.0,0.0,0.0,",2,11.11111111111111,22.22%,"1.0,0.0,1.0,0.0,0.0,0.0,",3,13.043478260869565,22.22%,10,2.2222222222222223,92.59%,"2.0,0.0,0.0,;2.0,0.0,0.0,;2.0,0.0,0.0,;3.0,0.0,0.0,;1.0,0.0,0.0,;",21,204.08032302256836,55.56%,3,"[' New York City Farmers Markets', ' New York City Art Galleries', ' DOHMH New York City Restaurant Inspection Results', ' Bank-Owned ATM Locations in New York State']","[' New York City Farmers Markets', ' New York City Art Galleries', ' DOHMH New York City Restaurant Inspection Results', ' Bank-Owned ATM Locations in New York State']",4,4,5
228,AkaGar,honors0,IH-Project-2017-AkaGar_webapp_phase3,Wed Nov 15 19:18:47 2017,0,3,"['Neighborhood Tabulation Areas', ' Housing New York Units by Building', ' Local Area Unemployment Statistics (LAUS) Seasonally Adjusted Data: Beginning 1976']",1,1,1,0,1,1,1,1,"three,jquery,react,d3,bootstrap,",0.0465116279069767,95.34883720930232,8,80,51.85%,"0,1,1,1,0,1,1,1,1,",1,20,22.22%,"1.0,0.0,0.0,0.0,0.0,",2,11.11111111111111,22.22%,"1.0,0.0,1.0,0.0,0.0,0.0,",3,13.043478260869565,22.22%,3,0.6666666666666667,44.44%,"0.0,0.0,0.0,;2.0,0.0,0.0,;1.0,0.0,0.0,;",14,202.1024603977081,51.85%,3,"['Neighborhood Tabulation Areas', ' Housing New York Units by Building', ' Local Area Unemployment Statistics (LAUS) Seasonally Adjusted Data: Beginning 1976']","['Neighborhood Tabulation Areas', ' Housing New York Units by Building', ' Local Area Unemployment Statistics (LAUS) Seasonally Adjusted Data: Beginning 1976']",3,3,3
229,matson3,honors0,IH-Project-2017-matson3_webapp_phase3,Wed Nov 15 19:18:47 2017,1,1,['Required Weather API'],1,1,1,0,1,1,1,1,"jquery,d3,bootstrap,",0.0018382352941176,99.81617647058825,9,90,85.19%,"1,1,1,1,0,1,1,1,1,",1,20,22.22%,"1.0,0.0,0.0,0.0,0.0,",2,11.11111111111111,22.22%,"1.0,0.0,1.0,0.0,0.0,0.0,",3,13.043478260869565,22.22%,5,1.1111111111111112,74.07%,"3.0,1.0,1.0,;",17,217.01424410343847,70.37%,3,[],[],0,0,1
230,ecottle,honors0,IH-Project-2017-ecottle_webapp_phase3,Wed Nov 15 19:18:47 2017,1,1,['Required Weather API'],1,1,1,0,1,1,1,1,"jquery,",0.1134020618556701,88.65979381443299,9,90,59.26%,"1,1,1,1,0,1,1,1,1,",1,20,22.22%,"1.0,0.0,0.0,0.0,0.0,",2,11.11111111111111,22.22%,"1.0,0.0,1.0,0.0,0.0,0.0,",3,13.043478260869565,22.22%,3,0.6666666666666667,44.44%,"3.0,0.0,0.0,;",15,205.4134170028388,59.26%,3,[],[],0,0,1
231,littlex2015,honors0,IH-Project-2017-littlex2015_webapp_phase3,Wed Nov 15 19:18:47 2017,1,1,['Required Weather API'],1,1,1,0,1,1,1,0,,0.0833333333333333,91.66666666666666,8,80,48.15%,"1,1,1,1,0,1,1,1,0,",1,20,22.22%,"1.0,0.0,0.0,0.0,0.0,",2,11.11111111111111,22.22%,"1.0,0.0,1.0,0.0,0.0,0.0,",3,13.043478260869565,22.22%,3,0.6666666666666667,44.44%,"3.0,0.0,0.0,;",14,198.42028985507244,48.15%,3,[],[],0,0,1
233,nbraunec,honors0,IH-Project-2017-nbraunec_webapp_phase3,Wed Nov 15 19:18:47 2017,1,2,"['Required Weather API', ' Zillow Home Value Searching API']",1,1,1,1,0,0,1,1,"jquery,d3,",0.0022222222222222,99.77777777777776,8,80,62.96%,"1,1,1,1,1,0,0,1,1,",1,20,22.22%,"1.0,0.0,0.0,0.0,0.0,",4,22.22222222222222,81.48%,"2.0,0.0,2.0,0.0,0.0,0.0,",5,21.73913043478261,81.48%,6,1.3333333333333337,77.78%,"3.0,0.0,0.0,;3.0,0.0,0.0,;",19,224.58937198067636,77.78%,3,[' Zillow Home Value Searching API'],[' Zillow Home Value Searching API'],1,1,2
236,hihms,honors0,IH-Project-2017-hihms_webapp_phase3,Wed Nov 15 19:18:47 2017,0,1,['Required Weather API'],0,1,1,0,0,0,1,1,"jquery,d3,bootstrap,",0.0154639175257731,98.4536082474227,5,50,29.63%,"0,0,1,1,0,0,0,1,1,",1,20,22.22%,"1.0,0.0,0.0,0.0,0.0,",4,22.22222222222222,81.48%,"2.0,0.0,2.0,0.0,0.0,0.0,",5,21.73913043478261,81.48%,3,0.6666666666666667,44.44%,"3.0,0.0,0.0,;",13,192.59853578365457,33.33%,3,[],[],0,0,1
238,zhao744,honors0,IH-Project-2017-zhao744_webapp_phase3,Wed Nov 15 19:18:47 2017,1,1,['Required Weather API'],1,1,1,1,1,1,1,1,"jquery,d3,bootstrap,",0.009933774834437,99.00662251655628,10,100,88.89%,"1,1,1,1,1,1,1,1,1,",1,20,22.22%,"1.0,0.0,0.0,0.0,0.0,",2,11.11111111111111,22.22%,"1.0,0.0,1.0,0.0,0.0,0.0,",3,13.043478260869565,22.22%,3,0.6666666666666667,44.44%,"3.0,0.0,0.0,;",16,225.76024570496207,81.48%,3,[],[],0,0,1
240,ko68,honors0,IH-Project-2017-ko68_webapp_phase3,Wed Nov 15 19:18:47 2017,1,4,"['Required Weather API', ' Housing New York Units by Building', ' Total Housing Units By Occupancy Status And Tenure By Borough', ' New York City Leading Causes of Death']",1,1,1,1,1,1,1,1,"jquery,d3,bootstrap,",0.005813953488372,99.4186046511628,10,100,92.59%,"1,1,1,1,1,1,1,1,1,",1,20,22.22%,"1.0,0.0,0.0,0.0,0.0,",2,11.11111111111111,22.22%,"1.0,0.0,1.0,0.0,0.0,0.0,",3,13.043478260869565,22.22%,7,1.5555555555555556,81.48%,"2.0,0.0,0.0,;3.0,0.0,0.0,;1.0,0.0,0.0,;1.0,0.0,0.0,;",20,227.06111672845748,85.19%,3,"[' Housing New York Units by Building', ' Total Housing Units By Occupancy Status And Tenure By Borough', ' New York City Leading Causes of Death']","[' Housing New York Units by Building', ' Total Housing Units By Occupancy Status And Tenure By Borough', ' New York City Leading Causes of Death']",3,3,4
242,gshowal,honors0,IH-Project-2017-gshowal_webapp_phase3,Wed Nov 15 19:18:47 2017,1,1,['Required Weather API'],1,1,1,0,1,1,1,1,"jquery,bootstrap,",0.0205479452054794,97.94520547945206,9,90,74.07%,"1,1,1,1,0,1,1,1,1,",1,20,22.22%,"1.0,0.0,0.0,0.0,0.0,",3,16.666666666666664,77.78%,"1.0,1.0,1.0,0.0,0.0,0.0,",4,17.391304347826086,77.78%,3,0.6666666666666667,44.44%,"3.0,0.0,0.0,;",16,223.3944808417709,74.07%,3,[],[],0,0,1
243,Nigogu,unal0,IH-Project-2017-Nigogu_webapp_phase3,Wed Nov 15 19:18:47 2017,0,1,['Zillow Home Value Searching API'],1,1,1,1,1,1,1,1,"jquery,bootstrap,",0.0098360655737704,99.01639344262296,9,90,92.59%,"0,1,1,1,1,1,1,1,1,",1,20,48.15%,"1.0,0.0,0.0,0.0,0.0,",2,11.11111111111111,51.85%,"1.0,0.0,1.0,0.0,0.0,0.0,",3,13.043478260869565,51.85%,3,0.6666666666666667,85.19%,"3.0,0.0,0.0,;",15,215.77001663102877,88.89%,3,['Zillow Home Value Searching API'],[],1,0,1
245,daapinzonch,unal0,IH-Project-2017-daapinzonch_webapp_phase3,Wed Nov 15 19:18:47 2017,0,1,['Housing New York Units by Building'],1,0,1,0,0,0,1,1,"jquery,d3,bootstrap,",0.0,100.0,5,50,59.26%,"0,1,0,1,0,0,0,1,1,",1,20,48.15%,"1.0,0.0,0.0,0.0,0.0,",2,11.11111111111111,51.85%,"1.0,0.0,1.0,0.0,0.0,0.0,",3,13.043478260869565,51.85%,1,0.2222222222222222,74.07%,"1.0,0.0,0.0,;",9,176.30917874396135,62.96%,3,['Housing New York Units by Building'],[],1,0,1
249,criscapunal,unal0,IH-Project-2017-criscapunal_webapp_phase3,Wed Nov 15 19:18:47 2017,0,1,['Housing New York Units by Building'],1,1,1,0,1,1,1,1,"jquery,bootstrap,",0.018450184501845,98.1549815498155,8,80,81.48%,"0,1,1,1,0,1,1,1,1,",1,20,48.15%,"1.0,0.0,0.0,0.0,0.0,",1,5.555555555555555,44.44%,"1.0,0.0,0.0,0.0,0.0,0.0,",2,8.695652173913043,48.15%,1,0.2222222222222222,74.07%,"1.0,0.0,0.0,;",11,195.7685081198638,77.78%,3,['Housing New York Units by Building'],[],1,0,1
250,dieguischa,unal0,IH-Project-2017-dieguischa_webapp_phase3,Wed Nov 15 19:18:47 2017,1,7,"['Required Weather API', ' Bank-Owned ATM Locations in New York State', ' New York City Population By Community Districts', ' Bicycle Routes Across New York State: Map', ' Facilities Licensed by the Department of Motor Vehicles (DMV)', ' New York City Museums', ' New York City Art Galleries']",1,1,1,1,0,0,1,1,"ember,jquery,d3,bootstrap,",0.0035335689045936,99.64664310954063,8,80,85.19%,"1,1,1,1,1,0,0,1,1,",1,20,48.15%,"1.0,0.0,0.0,0.0,0.0,",4,22.22222222222222,88.89%,"2.0,0.0,2.0,0.0,0.0,0.0,",5,21.73913043478261,88.89%,21,4.666666666666667,96.3%,"1.0,1.0,2.0,;1.0,1.0,2.0,;3.0,0.0,0.0,;1.0,1.0,2.0,;1.0,0.0,0.0,;2.0,0.0,0.0,;3.0,0.0,0.0,;",34,227.7915706457725,92.59%,3,"[' Bank-Owned ATM Locations in New York State', ' New York City Population By Community Districts', ' Bicycle Routes Across New York State: Map', ' Facilities Licensed by the Department of Motor Vehicles (DMV)', ' New York City Museums', ' New York City Art Galleries']","[' Bank-Owned ATM Locations in New York State', ' New York City Population By Community Districts', ' Bicycle Routes Across New York State: Map', ' Facilities Licensed by the Department of Motor Vehicles (DMV)', ' New York City Museums', ' New York City Art Galleries']",6,6,7
254,olimita,unal0,IH-Project-2017-olimita_webapp_phase3,Wed Nov 15 19:18:47 2017,0,2,"['Housing New York Units by Building', ' New York City Museums']",1,1,1,1,1,1,1,1,"jquery,bootstrap,",0.0192771084337349,98.0722891566265,9,90,88.89%,"0,1,1,1,1,1,1,1,1,",1,20,48.15%,"1.0,0.0,0.0,0.0,0.0,",6,33.33333333333333,96.3%,"2.0,0.0,2.0,1.0,1.0,0.0,",7,30.434782608695656,96.3%,8,1.7777777777777777,88.89%,"1.0,1.0,2.0,;1.0,1.0,2.0,;",24,250.7196321517956,96.3%,3,"['Housing New York Units by Building', ' New York City Museums']",[' New York City Museums'],2,1,2
257,Joacampora,unal0,IH-Project-2017-Joacampora_webapp_phase3,Wed Nov 15 19:18:47 2017,0,3,"['New York City Locations Providing Seasonal Flu Vaccinations', ' New York City Art Galleries', ' New York City Museums']",0,1,1,0,1,1,1,1,"jquery,d3,bootstrap,",0.0223214285714285,97.76785714285714,7,70,77.78%,"0,0,1,1,0,1,1,1,1,",1,20,48.15%,"1.0,0.0,0.0,0.0,0.0,",4,22.22222222222222,88.89%,"1.0,0.0,2.0,1.0,0.0,0.0,",5,21.73913043478261,88.89%,12,2.666666666666667,92.59%,"1.0,1.0,2.0,;1.0,1.0,2.0,;1.0,1.0,2.0,;",24,213.912784679089,81.48%,3,"['New York City Locations Providing Seasonal Flu Vaccinations', ' New York City Art Galleries', ' New York City Museums']","['New York City Locations Providing Seasonal Flu Vaccinations', ' New York City Art Galleries', ' New York City Museums']",3,3,3
265,LauraMolina,unal0,IH-Project-2017-LauraMolina_webapp_phase3,Wed Nov 15 19:18:47 2017,0,1,['Fire Department Directory for New York State'],0,1,1,0,0,0,1,1,"font-awesome,jquery,bootstrap,",0.0155642023346303,98.44357976653696,5,50,55.56%,"0,0,1,1,0,0,0,1,1,",1,20,48.15%,"1.0,0.0,0.0,0.0,0.0,",2,11.11111111111111,51.85%,"1.0,0.0,1.0,0.0,0.0,0.0,",3,13.043478260869565,51.85%,1,0.2222222222222222,74.07%,"1.0,0.0,0.0,;",9,174.75275851049832,59.26%,3,['Fire Department Directory for New York State'],[],1,0,1
270,evilcucaracha,unal1,IH-Project-2017-evilcucaracha_webapp_phase3,Wed Nov 15 19:18:47 2017,0,2,"['New York City Art Galleries', ' New York City Museums']",1,1,1,0,1,1,1,1,"jquery,bootstrap,animate,",0.0376237623762376,96.23762376237624,8,80,74.07%,"0,1,1,1,0,1,1,1,1,",1,20,40.74%,"1.0,0.0,0.0,0.0,0.0,",5,27.77777777777778,88.89%,"2.0,0.0,2.0,1.0,0.0,0.0,",6,26.08695652173913,88.89%,8,1.7777777777777777,77.78%,"1.0,1.0,2.0,;1.0,1.0,2.0,;",22,230.18931458363227,88.89%,3,"['New York City Art Galleries', ' New York City Museums']",[' New York City Museums'],2,1,2
271,JulianM96,unal1,IH-Project-2017-JulianM96_webapp_phase3,Wed Nov 15 19:18:47 2017,1,1,['Required Weather API'],1,1,1,1,0,0,1,1,"jquery,bootstrap,",0.0539419087136929,94.6058091286307,8,80,66.67%,"1,1,1,1,1,0,0,1,1,",1,20,40.74%,"1.0,0.0,0.0,0.0,0.0,",3,16.666666666666664,77.78%,"1.0,0.0,1.0,1.0,0.0,0.0,",4,17.391304347826086,70.37%,3,0.6666666666666667,62.96%,"3.0,0.0,0.0,;",15,210.05508449094955,66.67%,3,[],[],0,0,1
274,cglaitong,unal1,IH-Project-2017-cglaitong_webapp_phase3,Wed Nov 15 19:18:47 2017,1,6,"['Required Weather API', ' New York City Locations Providing Seasonal Flu Vaccinations', ' New York State Career Centers', ' New York City Museums', ' Directory Of DCP Offices', ' New York City Art Galleries']",1,1,1,0,1,1,1,1,"jquery,d3,bootstrap,",0.0039215686274509,99.6078431372549,9,90,92.59%,"1,1,1,1,0,1,1,1,1,",1,20,40.74%,"1.0,0.0,0.0,0.0,0.0,",2,11.11111111111111,51.85%,"1.0,0.0,1.0,0.0,0.0,0.0,",3,13.043478260869565,51.85%,27,6.0,96.3%,"1.0,1.0,2.0,;1.0,1.0,2.0,;1.0,1.0,2.0,;3.0,1.0,2.0,;0.0,1.0,2.0,;3.0,2.0,1.0,;",39,221.69479965899404,81.48%,3,"[' New York City Locations Providing Seasonal Flu Vaccinations', ' New York State Career Centers', ' New York City Museums', ' Directory Of DCP Offices', ' New York City Art Galleries']","[' New York City Locations Providing Seasonal Flu Vaccinations', ' New York State Career Centers', ' New York City Museums', ' Directory Of DCP Offices', ' New York City Art Galleries']",5,5,6
276,BrandonAvilanR,unal1,IH-Project-2017-BrandonAvilanR_webapp_phase3,Wed Nov 15 19:18:47 2017,1,6,"['Required Weather API', ' New York City Locations Providing Seasonal Flu Vaccinations', ' New York City Museums', ' Boardwalk', ' New York City Art Galleries', ' Housing New York Units by Building']",1,1,1,1,1,1,1,1,"font-awesome,jquery,d3,bootstrap,animate,",0.0078431372549019,99.2156862745098,10,100,96.3%,"1,1,1,1,1,1,1,1,1,",1,20,40.74%,"1.0,0.0,0.0,0.0,0.0,",4,22.22222222222222,85.19%,"1.0,0.0,2.0,1.0,0.0,0.0,",5,21.73913043478261,81.48%,12,2.666666666666667,85.19%,"1.0,0.0,0.0,;1.0,0.0,0.0,;1.0,0.0,0.0,;1.0,0.0,0.0,;1.0,0.0,0.0,;3.0,2.0,2.0,;",27,245.36061381074168,92.59%,3,"[' New York City Locations Providing Seasonal Flu Vaccinations', ' New York City Museums', ' Boardwalk', ' New York City Art Galleries', ' Housing New York Units by Building']","[' New York City Locations Providing Seasonal Flu Vaccinations', ' New York City Museums', ' Boardwalk', ' New York City Art Galleries', ' Housing New York Units by Building']",5,5,6
277,alejosaur,unal1,IH-Project-2017-alejosaur_webapp_phase3,Wed Nov 15 19:18:47 2017,1,6,"['Required Weather API', ' New York City Locations Providing Seasonal Flu Vaccinations', ' Bicycle Routes Across New York State: Map', ' New York City Museums', ' New York City Art Galleries', ' Housing New York Units by Building']",1,1,1,1,0,0,1,1,"jquery,d3,bootstrap,animate,",0.0242587601078167,97.57412398921834,8,80,77.78%,"1,1,1,1,1,0,0,1,1,",2,40,85.19%,"1.0,1.0,0.0,0.0,0.0,",2,11.11111111111111,51.85%,"1.0,0.0,1.0,0.0,0.0,0.0,",4,17.391304347826086,70.37%,22,4.888888888888889,92.59%,"1.0,1.0,1.0,;1.0,1.0,1.0,;3.0,1.0,1.0,;3.0,1.0,1.0,;1.0,1.0,1.0,;1.0,1.0,1.0,;",34,217.2456215737594,74.07%,3,"[' New York City Locations Providing Seasonal Flu Vaccinations', ' Bicycle Routes Across New York State: Map', ' New York City Museums', ' New York City Art Galleries', ' Housing New York Units by Building']","[' New York City Locations Providing Seasonal Flu Vaccinations', ' Bicycle Routes Across New York State: Map', ' New York City Museums', ' New York City Art Galleries', ' Housing New York Units by Building']",5,5,6
282,garayf,unal1,IH-Project-2017-garayf_webapp_phase3,Wed Nov 15 19:18:47 2017,0,2,"['New York City Art Galleries', ' New York City Museums']",1,1,1,0,0,0,1,1,"jquery,bootstrap,",0.0220082530949105,97.79917469050892,6,60,51.85%,"0,1,1,1,0,0,0,1,1,",1,20,40.74%,"1.0,0.0,0.0,0.0,0.0,",6,33.33333333333333,92.59%,"2.0,1.0,2.0,1.0,0.0,0.0,",7,30.434782608695656,92.59%,6,1.3333333333333337,74.07%,"1.0,1.0,1.0,;1.0,1.0,1.0,;",19,220.0020732412336,77.78%,3,"['New York City Art Galleries', ' New York City Museums']",[' New York City Museums'],2,1,2
286,sebcamacho1703,unal1,IH-Project-2017-sebcamacho1703_webapp_phase3,Wed Nov 15 19:18:47 2017,1,2,"['Required Weather API', ' New York City Museums']",1,1,1,1,0,0,1,1,"jquery,bootstrap,",0.015625,98.4375,8,80,81.48%,"1,1,1,1,1,0,0,1,1,",1,20,40.74%,"1.0,0.0,0.0,0.0,0.0,",2,11.11111111111111,51.85%,"1.0,0.0,1.0,0.0,0.0,0.0,",3,13.043478260869565,51.85%,4,0.8888888888888888,66.67%,"1.0,0.0,0.0,;3.0,0.0,0.0,;",15,205.413345410628,62.96%,3,[' New York City Museums'],[' New York City Museums'],1,1,2
287,xFortich,unal1,IH-Project-2017-xFortich_webapp_phase3,Wed Nov 15 19:18:47 2017,0,3,"['New York City Art Galleries', ' Zillow Home Value Searching API', ' New York City Museums']",1,1,1,0,1,1,1,1,"jquery,bootstrap,animate,",0.0087173100871731,99.12826899128268,8,80,85.19%,"0,1,1,1,0,1,1,1,1,",2,40,85.19%,"1.0,0.0,0.0,0.0,1.0,",3,16.666666666666664,77.78%,"1.0,0.0,1.0,1.0,0.0,0.0,",5,21.73913043478261,81.48%,9,2.0,81.48%,"1.0,1.0,1.0,;3.0,0.0,0.0,;1.0,1.0,1.0,;",22,224.6065298608479,85.19%,3,"['New York City Art Galleries', ' Zillow Home Value Searching API', ' New York City Museums']","[' Zillow Home Value Searching API', ' New York City Museums']",3,2,3
292,davideperdomo,unal1,IH-Project-2017-davideperdomo_webapp_phase3,Wed Nov 15 19:18:47 2017,1,4,"['Required Weather API', ' Neighborhood Tabulation Areas', ' Air Quality', ' Bank-Owned ATM Locations in New York State']",0,1,1,0,1,1,1,1,"jquery,d3,bootstrap,",0.0020576131687242,99.79423868312756,8,80,88.89%,"1,0,1,1,0,1,1,1,1,",4,80,96.3%,"1.0,1.0,1.0,0.0,1.0,",6,33.33333333333333,92.59%,"1.0,1.0,1.0,1.0,1.0,1.0,",10,43.47826086956522,96.3%,14,3.111111111111111,88.89%,"2.0,1.0,1.0,;0.0,0.0,0.0,;2.0,1.0,2.0,;3.0,1.0,1.0,;",32,269.8618715333691,96.3%,3,"[' Neighborhood Tabulation Areas', ' Air Quality', ' Bank-Owned ATM Locations in New York State']","[' Neighborhood Tabulation Areas', ' Air Quality', ' Bank-Owned ATM Locations in New York State']",3,3,4
296,ayperezc,unal1,IH-Project-2017-ayperezc_webapp_phase3,Wed Nov 15 19:18:47 2017,0,1,['New York City Museums'],1,1,1,0,1,1,1,1,"jquery,bootstrap,",0.0396039603960396,96.03960396039604,8,80,70.37%,"0,1,1,1,0,1,1,1,1,",2,40,85.19%,"1.0,0.0,0.0,0.0,1.0,",2,11.11111111111111,51.85%,"1.0,0.0,1.0,0.0,0.0,0.0,",4,17.391304347826086,70.37%,4,0.8888888888888888,66.67%,"1.0,1.0,2.0,;",16,211.71110154493712,70.37%,3,['New York City Museums'],[],1,0,1
297,anferoar96,unal2,IH-Project-2017-anferoar96_webapp_phase3,Wed Nov 15 19:18:47 2017,0,1,['New York City Museums'],1,1,1,1,1,1,1,1,"jquery,bootstrap,",0.041025641025641,95.8974358974359,9,90,81.48%,"0,1,1,1,1,1,1,1,1,",2,40,92.59%,"1.0,0.0,0.0,0.0,1.0,",2,11.11111111111111,66.67%,"1.0,0.0,1.0,0.0,0.0,0.0,",4,17.391304347826086,81.48%,3,0.6666666666666667,70.37%,"1.0,1.0,1.0,;",16,221.3467112597548,85.19%,3,['New York City Museums'],[],1,0,1
300,trickyjuggler,unal2,IH-Project-2017-trickyjuggler_webapp_phase3,Wed Nov 15 19:18:47 2017,0,3,"['New York City Art Galleries', ' School Safety Report', ' New York City Museums']",1,1,1,1,1,1,1,1,"jquery,bootstrap,angular,",0.0046728971962616,99.53271028037383,9,90,88.89%,"0,1,1,1,1,1,1,1,1,",1,20,48.15%,"1.0,0.0,0.0,0.0,0.0,",3,16.666666666666664,85.19%,"1.0,0.0,1.0,0.0,1.0,0.0,",4,17.391304347826086,81.48%,7,1.5555555555555556,85.19%,"1.0,1.0,1.0,;1.0,0.0,0.0,;1.0,1.0,1.0,;",20,225.87087453158156,88.89%,3,"['New York City Art Galleries', ' School Safety Report', ' New York City Museums']","[' School Safety Report', ' New York City Museums']",3,2,3
308,casc3798,unal2,IH-Project-2017-casc3798_webapp_phase3,Wed Nov 15 19:18:47 2017,0,1,['Zillow Home Value Searching API'],1,1,1,0,1,1,1,1,"jquery,bootstrap,",0.0172413793103448,98.27586206896552,8,80,77.78%,"0,1,1,1,0,1,1,1,1,",1,20,48.15%,"1.0,0.0,0.0,0.0,0.0,",2,11.11111111111111,66.67%,"1.0,0.0,1.0,0.0,0.0,0.0,",3,13.043478260869565,66.67%,3,0.6666666666666667,70.37%,"3.0,0.0,0.0,;",14,205.0294852573713,77.78%,3,['Zillow Home Value Searching API'],[],1,0,1
309,jsalcinar,unal2,IH-Project-2017-jsalcinar_webapp_phase3,Wed Nov 15 19:18:47 2017,0,3,"['Fire Department Directory for New York State', ' School Safety Report', ' New York State Career Centers']",1,1,1,1,1,1,1,1,"jquery,d3,bootstrap,",0.0222772277227722,97.77227722772275,9,90,85.19%,"0,1,1,1,1,1,1,1,1,",1,20,48.15%,"1.0,0.0,0.0,0.0,0.0,",2,11.11111111111111,66.67%,"1.0,0.0,1.0,0.0,0.0,0.0,",3,13.043478260869565,66.67%,7,1.5555555555555556,85.19%,"1.0,0.0,0.0,;3.0,0.0,0.0,;1.0,1.0,1.0,;",19,215.41478930501745,81.48%,3,"['Fire Department Directory for New York State', ' School Safety Report', ' New York State Career Centers']","[' School Safety Report', ' New York State Career Centers']",3,2,3
310,Anvido,unal2,IH-Project-2017-Anvido_webapp_phase3,Wed Nov 15 19:18:47 2017,1,4,"['Required Weather API', ' New York City Art Galleries', ' Fire Department Directory for New York State', ' New York City Museums']",1,1,1,1,1,1,1,1,"jquery,materialize,",0.0019455252918287,99.80544747081711,10,100,96.3%,"1,1,1,1,1,1,1,1,1,",1,20,48.15%,"1.0,0.0,0.0,0.0,0.0,",3,16.666666666666664,85.19%,"1.0,0.0,1.0,0.0,1.0,0.0,",4,17.391304347826086,81.48%,10,2.2222222222222223,92.59%,"1.0,0.0,0.0,;1.0,1.0,1.0,;3.0,0.0,0.0,;1.0,1.0,1.0,;",24,236.81027838869156,92.59%,3,"[' New York City Art Galleries', ' Fire Department Directory for New York State', ' New York City Museums']","[' New York City Art Galleries', ' Fire Department Directory for New York State', ' New York City Museums']",3,3,4
312,federgolo,unal2,IH-Project-2017-federgolo_webapp_phase3,Wed Nov 15 19:18:47 2017,0,2,"['Bicycle Routes Across New York State: Map', ' New York City Museums']",0,1,1,0,0,0,1,1,"jquery,d3,bootstrap,",0.0044052863436123,99.55947136563876,5,50,62.96%,"0,0,1,1,0,0,0,1,1,",1,20,48.15%,"1.0,0.0,0.0,0.0,0.0,",3,16.666666666666664,85.19%,"1.0,0.0,1.0,0.0,1.0,0.0,",4,17.391304347826086,81.48%,6,1.3333333333333337,81.48%,"1.0,1.0,1.0,;3.0,0.0,0.0,;",15,185.67541339462423,70.37%,3,"['Bicycle Routes Across New York State: Map', ' New York City Museums']","['Bicycle Routes Across New York State: Map', ' New York City Museums']",2,2,2
317,jdgaitanf,unal2,IH-Project-2017-jdgaitanf_webapp_phase3,Wed Nov 15 19:18:47 2017,1,2,"['Required Weather API', ' New York City Museums']",1,1,1,0,0,0,1,1,"jquery,bootstrap,",0.0555555555555555,94.44444444444444,7,70,70.37%,"1,1,1,1,0,0,0,1,1,",1,20,48.15%,"1.0,0.0,0.0,0.0,0.0,",0,0.0,0.0%,"0.0,0.0,0.0,0.0,0.0,0.0,",1,4.3478260869565215,48.15%,4,0.8888888888888888,77.78%,"1.0,0.0,0.0,;3.0,0.0,0.0,;",12,174.02898550724638,66.67%,3,[' New York City Museums'],[' New York City Museums'],1,1,2
318,pahigueraf,unal2,IH-Project-2017-pahigueraf_webapp_phase3,Wed Nov 15 19:18:47 2017,0,5,"['new york address points', ' Fire Department Directory for New York State', ' New York City Art Galleries', ' New York State Career Centers', ' New York City Museums']",1,1,1,1,1,1,1,1,"font-awesome,jquery,d3,bootstrap,",0.0019436345966958,99.80563654033044,9,90,92.59%,"0,1,1,1,1,1,1,1,1,",4,80,96.3%,"1.0,1.0,0.0,1.0,1.0,",6,33.33333333333333,96.3%,"1.0,1.0,1.0,1.0,1.0,1.0,",10,43.47826086956522,96.3%,24,5.333333333333334,96.3%,"1.0,1.0,2.0,;1.0,1.0,2.0,;3.0,1.0,2.0,;3.0,1.0,2.0,;1.0,1.0,2.0,;",43,282.0954916127942,96.3%,3,"['new york address points', ' Fire Department Directory for New York State', ' New York City Art Galleries', ' New York State Career Centers', ' New York City Museums']","['new york address points', ' Fire Department Directory for New York State', ' New York City Art Galleries', ' New York State Career Centers', ' New York City Museums']",5,5,5
